,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
224,1936,William Faulkner,,"['Classics', 'Fiction', 'Literature']",https://www.goodreads.com/book/show/17841.Foucault_s_Pendulum,316,39188,3.97,2194,"Absalom, Absalom!",0
225,1988,Umberto Eco,"['PEN Translation Prize for William Weaver (1990)', 'Premio Bancarella (1989)', 'Ars Translationis (1998)']","['Fiction', 'Mystery', 'Historical']",https://www.goodreads.com/book/show/373755.Absalom_Absalom_,623,60561,3.90,3397,Foucault's Pendulum,0
226,1932,Laura Ingalls Wilder,['Lewis Carroll Shelf Award (1958)'],"['Classics', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods,198,237533,4.18,6038,Little House in the Big Woods,1
227,1989,John Grisham,,"['Fiction', 'Mystery', 'Thriller']",https://www.goodreads.com/book/show/32542.A_Time_to_Kill,515,717328,4.08,5491,A Time to Kill,1
228,1949,Joseph Campbell,,"['Nonfiction', 'Fantasy', 'Mythology']",https://www.goodreads.com/book/show/16286.The_Magus,416,33385,4.15,2164,The Hero With a Thousand Faces,0
229,1965,John Fowles,,"['Fiction', 'Classics', 'Fantasy']",https://www.goodreads.com/book/show/588138.The_Hero_With_a_Thousand_Faces,656,48432,4.06,2939,The Magus,0
230,1953,J.D. Salinger,,"['Short Stories', 'Fiction', 'Classics']",https://www.goodreads.com/book/show/4009.Nine_Stories,198,136197,4.17,4426,Nine Stories,0
231,1970,Dee Brown,,"['History', 'Nonfiction', 'North American Hi...']",https://www.goodreads.com/book/show/76401.Bury_My_Heart_at_Wounded_Knee,509,69386,4.21,3828,Bury My Heart at Wounded Knee: An Indian History of the American West,0
232,1961,Richard Yates,['National Book Award Finalist for Fiction (1962)'],"['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/5527.All_the_King_s_Men,355,81104,3.90,6758,Revolutionary Road,0
233,1946,Robert Penn Warren,"['Pulitzer Prize for Fiction (1947)', 'Prix du Meilleur Livre Étranger for Roman (1953)', 'Mikael Agricola -palkinto (1977)']","['Fiction', 'Classics', 'Historical']",https://www.goodreads.com/book/show/48328.Revolutionary_Road,439,59559,4.06,2656,All the King's Men,0
